"Date","Price","Open","High","Low","Vol.","Change %"
"2022-09-07","12,853.13","12,853.13","12,853.13","12,853.13","","1.91%"
"2022-09-06","12,612.44","12,612.44","12,612.44","12,612.44","","-0.46%"
"2022-09-02","12,670.27","12,670.27","12,670.27","12,670.27","","-0.99%"
"2022-09-01","12,797.46","12,797.46","12,797.46","12,797.46","","0.08%"
"2022-08-31","12,787.53","12,787.53","12,787.53","12,787.53","","-0.74%"
"2022-08-30","12,882.54","12,882.54","12,882.54","12,882.54","","-1.12%"
"2022-08-29","13,027.95","13,027.95","13,027.95","13,027.95","","-0.70%"
"2022-08-26","13,119.53","13,119.53","13,119.53","13,119.53","","-3.35%"
"2022-08-25","13,574.48","13,574.48","13,574.48","13,574.48","","1.47%"
"2022-08-24","13,378.05","13,378.05","13,378.05","13,378.05","","0.39%"
"2022-08-23","13,326.48","13,326.48","13,326.48","13,326.48","","-0.17%"
"2022-08-22","13,349.30","13,349.30","13,349.30","13,349.30","","-2.13%"
"2022-08-19","13,640.16","13,640.16","13,640.16","13,640.16","","-1.44%"
"2022-08-18","13,839.18","13,839.18","13,839.18","13,839.18","","0.27%"
"2022-08-17","13,802.56","13,802.56","13,802.56","13,802.56","","-0.87%"
"2022-08-16","13,924.17","13,924.17","13,924.17","13,924.17","","0.17%"
"2022-08-15","13,899.88","13,899.88","13,899.88","13,899.88","","0.37%"
"2022-08-12","13,848.85","13,848.85","13,848.85","13,848.85","","1.76%"
"2022-08-11","13,609.12","13,609.12","13,609.12","13,609.12","","-0.05%"
"2022-08-10","13,615.53","13,615.53","13,615.53","13,615.53","","2.32%"
"2022-08-09","13,306.70","13,306.70","13,306.70","13,306.70","","-0.60%"
"2022-08-08","13,386.90","13,386.90","13,386.90","13,386.90","","0.04%"
"2022-08-05","13,382.12","13,382.12","13,382.12","13,382.12","","0.00%"
"2022-08-04","13,382.43","13,382.43","13,382.43","13,382.43","","-0.07%"
"2022-08-03","13,391.89","13,391.89","13,391.89","13,391.89","","1.61%"
"2022-08-02","13,180.17","13,180.17","13,180.17","13,180.17","","-0.55%"
"2022-08-01","13,252.77","13,252.77","13,252.77","13,252.77","","-0.23%"
"2022-07-29","13,283.25","13,283.25","13,283.25","13,283.25","","1.36%"
"2022-07-28","13,104.97","13,104.97","13,104.97","13,104.97","","1.26%"
"2022-07-27","12,941.98","12,941.98","12,941.98","12,941.98","","2.62%"
"2022-07-26","12,611.78","12,611.78","12,611.78","12,611.78","","-1.20%"
"2022-07-25","12,765.00","12,765.00","12,765.00","12,765.00","","0.15%"
"2022-07-22","12,746.41","12,746.41","12,746.41","12,746.41","","-1.06%"
